"id","commodity","classification","grade","sex","market","wholesale","retail","supply_volume","county","date"
1,"Wheat","-","-","-","Kibiok","75.00/Kg","80.00/Kg","450.00","Nandi","2024-03-10"
2,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","130.00/Kg","1000.00","Nandi","2024-03-08"
3,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-03-08"
4,"Wheat","-","-","-","Daraja Mbili","60.00/Kg","80.00/Kg","250.00","Kisii","2024-03-08"
5,"Wheat","-","-","-","Maua","77.78/Kg","100.00/Kg","1980.00","Meru","2024-03-07"
6,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-03-07"
7,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-03-07"
8,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ","990.00","Nakuru","2024-03-06"
9,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-03-05"
10,"Wheat","-","-","-","Kabiyet Market","200.00/Kg","300.00/Kg","1000.00","Nandi","2024-03-05"
11,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-03-04"
12,"Wheat","-","-","-","Kagio","100.00/Kg","120.00/Kg",NULL,"Kirinyaga","2024-03-04"
13,"Wheat","-","-","-","Kibiok","75.00/Kg","80.00/Kg","600.00","Nandi","2024-03-03"
14,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-03-01"
15,"Wheat","-","-","-","Bungoma town","110.00/Kg","150.00/Kg","400.00","Bungoma","2024-03-01"
16,"Wheat","-","-","-","Eldoret Main","90.00/Kg","100.00/Kg","2500.00","Uasin-Gishu","2024-03-01"
17,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ","2430.00","Nakuru","2024-02-29"
18,"Wheat","-","-","-","Karatina","66.67/Kg","100.00/Kg","450.00","Nyeri","2024-02-29"
19,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-28"
20,"Wheat","-","-","-","Eldoret Main","90.00/Kg","100.00/Kg","550.00","Uasin-Gishu","2024-02-28"
21,"Wheat","-","-","-","Gikomba"," - ","125.00/Kg",NULL,"Nairobi","2024-02-27"
22,"Wheat","-","-","-","Bondeni","125.00/Kg","150.00/Kg","180.00","Trans-Nzoia","2024-02-27"
23,"Wheat","-","-","-","Kawangware","81.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-27"
24,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-26"
25,"Wheat","-","-","-","Kawangware","79.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-26"
26,"Wheat","-","-","-","Kibiok","150.00/Kg","160.00/Kg","400.00","Nandi","2024-02-25"
27,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-23"
28,"Wheat","-","-","-","Gakoromone","55.56/Kg","100.00/Kg","3000.00","Meru","2024-02-23"
29,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-22"
30,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-21"
31,"Wheat","-","-","-","Maua","77.78/Kg","1000.00/Kg","900.00","Meru","2024-02-20"
32,"Wheat","-","-","-","Gikomba"," - ","115.00/Kg",NULL,"Nairobi","2024-02-20"
33,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-20"
34,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-20"
35,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-20"
36,"Wheat","-","-","-","Bondeni","125.00/Kg","150.00/Kg","180.00","Trans-Nzoia","2024-02-20"
37,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-19"
38,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-16"
39,"Wheat","-","-","-","Daraja Mbili","60.00/Kg","80.00/Kg",NULL,"Kisii","2024-02-16"
40,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-16"
41,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-15"
42,"Wheat","-","-","-","Maua","77.78/Kg","100.00/Kg","1800.00","Meru","2024-02-15"
43,"Wheat","-","-","-","Kawangware","79.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-15"
44,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-14"
45,"Wheat","-","-","-","Daraja Mbili","64.44/Kg","88.00/Kg","850.00","Kisii","2024-02-13"
46,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","8000.00","Nandi","2024-02-13"
47,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-13"
48,"Wheat","-","-","-","Bondeni","125.00/Kg","150.00/Kg","180.00","Trans-Nzoia","2024-02-13"
49,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-12"
50,"Wheat","-","-","-","Kagio","100.00/Kg","120.00/Kg",NULL,"Kirinyaga","2024-02-12"
51,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-09"
52,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","120.00/Kg","5000.00","Nandi","2024-02-08"
53,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-08"
54,"Wheat","-","-","-","Maua","77.78/Kg","100.00/Kg","900.00","Meru","2024-02-08"
55,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-07"
56,"Wheat","-","-","-","Gikomba"," - ","115.00/Kg",NULL,"Nairobi","2024-02-07"
57,"Wheat","-","-","-","Kawangware","81.00/Kg","90.00/Kg",NULL,"Nairobi","2024-02-06"
58,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ","3960.00","Nakuru","2024-02-06"
59,"Wheat","-","-","-","Bondeni","125.00/Kg","150.00/Kg","240.00","Trans-Nzoia","2024-02-06"
60,"Wheat","-","-","-","Daraja Mbili","53.33/Kg","80.00/Kg","480.00","Kisii","2024-02-05"
61,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-05"
62,"Wheat","-","-","-","Kawangware"," - ","90.00/Kg",NULL,"Nairobi","2024-02-05"
63,"Wheat","-","-","-","Kagio","100.00/Kg","120.00/Kg",NULL,"Kirinyaga","2024-02-05"
64,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-02"
65,"Wheat","-","-","-","Kawangware","81.11/Kg","90.00/Kg",NULL,"Nairobi","2024-02-02"
66,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-02-01"
67,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-31"
68,"Wheat","-","-","-","Gikomba"," - ","110.00/Kg",NULL,"Nairobi","2024-01-31"
69,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-30"
70,"Wheat","-","-","-","Maua","77.78/Kg","100.00/Kg","1350.00","Meru","2024-01-30"
71,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-29"
72,"Wheat","-","-","-","Othaya","66.67/Kg","135.00/Kg","2700.00","Nyeri","2024-01-29"
73,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-26"
74,"Wheat","-","-","-","Gikomba"," - ","115.00/Kg",NULL,"Nairobi","2024-01-26"
75,"Wheat","-","-","-","Kawangware"," - ","90.00/Kg",NULL,"Nairobi","2024-01-25"
76,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-25"
77,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-24"
78,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2024-01-24"
79,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-23"
80,"Wheat","-","-","-","Kabiyet Market","208.33/Kg","110.00/Kg","35000.00","Nandi","2024-01-23"
